id,title,description,category,price,rating
205,Classic Novel Collection Box Set - Red,Timeless literature anthology with embossed hardcover bindings.,Books & Stationery,11.58,4.3
206,Cycling Helmet Adult Essential - Black,Ventilated road bike helmet with adjustable fit system and MIPS protection.,Sports & Outdoors,95.12,4.0
207,Outdoor Bubble Machine Essential - White,Battery-powered bubble blower for birthday parties and backyard fun. Limited time offer.,Toys & Games,55.28,4.1
208,Family Board Game Strategy Deluxe - White,"Award-winning tabletop game for 2-4 players, 45-minute play time. Best seller in category.",Toys & Games,10.37,4.6
209,HDMI Cable 6ft 4K Plus - Black,High-speed HDMI 2.0 cable supporting 4K at 60Hz for monitors and projectors. Best seller in category.,Electronics,550.64,3.6
210,Digital Body Weight Scale Essential,"Bluetooth smart scale tracking weight, BMI, and body composition trends.",Health & Wellness,56.61,3.0
211,Hiking Backpack 40L Pro,Ergonomic trekking pack with hydration sleeve and rain cover for multi-day hikes. Limited time offer.,Sports & Outdoors,41.69,4.6
212,Protein Powder Whey Isolate Ultra - White,"Low-carb post-workout supplement with 25g protein per serving, vanilla flavor.",Health & Wellness,185.5,4.3
213,Glass Food Storage Containers Classic,"BPA-free meal prep containers with snap-lock lids, microwave safe. Eco-friendly packaging.",Home & Kitchen,249.08,4.9
214,Hydrating Moisturizer SPF 30 Lite - Red,Daily facial lotion with broad spectrum sun protection and hyaluronic acid. Limited time offer.,Beauty & Personal Care,11.25,3.8
215,Beginner Python Programming Guide Pro,"Hands-on coding book covering fundamentals, data structures, and projects. Limited time offer.",Books & Stationery,10.87,4.2
216,Jigsaw Puzzle 1000 Pieces Landscape Pro,Challenging adult puzzle featuring scenic mountain lake photography. Highly rated by customers.,Toys & Games,61.42,4.2
217,Lip Balm SPF 15 Pack Classic,Moisturizing lip protection with vitamin E for daily outdoor use. Eco-friendly packaging.,Beauty & Personal Care,76.94,3.9
218,Meditation and Mindfulness Workbook Plus - Red,"Guided exercises for stress relief, breathing techniques, and daily calm.",Books & Stationery,34.65,3.8
219,Remote Control Car Off-Road Ultra - White,Rechargeable RC truck with shock absorbers for indoor and outdoor play.,Toys & Games,28.68,4.6
220,Beard Grooming Kit Lite,"Trimming oil, balm, and comb set for beard care and styling. Limited time offer.",Beauty & Personal Care,87.4,3.5
221,Cotton Crew Neck T-Shirt Pack Essential - Red,"Breathable everyday tees in assorted colors, machine washable and durable.",Clothing,24.92,3.7
222,Productivity Planner 2026 Deluxe,"Undated daily planner with goal tracking, habit pages, and monthly reviews.",Books & Stationery,7.65,4.1
223,Desk Organizer Bamboo Pro - Red,"Multi-compartment tray for pens, phones, and office supplies. Free shipping eligible.",Books & Stationery,33.67,4.7
224,Smart Home Security Camera Essential,"1080p indoor camera with night vision, motion alerts, and two-way audio via mobile app.",Electronics,96.08,3.9
225,Essential Oil Diffuser Ultrasonic Lite,Aromatherapy humidifier with LED mood lighting and timer settings. Highly rated by customers.,Health & Wellness,195.27,3.9
226,Blue Light Blocking Glasses Lite - Black,Computer glasses reducing eye strain during long screen sessions.,Health & Wellness,158.62,4.1
227,Sun Protection UV Shirt,"Long sleeve UPF 50+ shirt for beach, fishing, and outdoor activities. Highly rated by customers.",Clothing,147.66,4.4
228,Outdoor Bubble Machine Deluxe,Battery-powered bubble blower for birthday parties and backyard fun. Free shipping eligible.,Toys & Games,75.28,4.0
229,Denim Jacket Classic Fit,"Timeless denim outerwear with button closure, versatile casual layer. Eco-friendly packaging.",Clothing,148.99,4.7
230,Hydrating Moisturizer SPF 30,Daily facial lotion with broad spectrum sun protection and hyaluronic acid.,Beauty & Personal Care,60.59,4.8
231,Meditation and Mindfulness Workbook Pro - Navy,"Guided exercises for stress relief, breathing techniques, and daily calm.",Books & Stationery,11.79,4.1
232,Makeup Brush Set 12-Piece Pro,"Synthetic bristle brushes for foundation, blush, and eye makeup application.",Beauty & Personal Care,40.73,5.0
233,Posture Corrector Back Brace - Red,Adjustable shoulder support to improve desk posture and reduce slouching.,Health & Wellness,34.29,4.2
234,Desk Organizer Bamboo,"Multi-compartment tray for pens, phones, and office supplies.",Books & Stationery,16.84,4.7
235,Hardcover Notebook A5 Ruled Ultra - Navy,200-page journal with thick paper suitable for fountain pens and bullet journaling. Best seller in category.,Books & Stationery,22.69,4.4
236,HDMI Cable 6ft 4K Pro,High-speed HDMI 2.0 cable supporting 4K at 60Hz for monitors and projectors.,Electronics,576.01,4.4
237,Denim Jacket Classic Fit Deluxe - Gray,"Timeless denim outerwear with button closure, versatile casual layer.",Clothing,108.88,3.4
238,Hydrating Moisturizer SPF 30 Ultra - Gray,Daily facial lotion with broad spectrum sun protection and hyaluronic acid.,Beauty & Personal Care,55.65,3.6
239,Plush Teddy Bear Large Ultra,Soft hypoallergenic stuffed animal gift for toddlers and collectors. Eco-friendly packaging.,Toys & Games,12.49,4.1
240,Air Fryer 5 Quart Ultra,"Digital air fryer for crispy meals with less oil, includes recipe booklet.",Home & Kitchen,174.94,4.8
241,Argan Oil Hair Treatment Classic,Nourishing leave-in oil to repair dry damaged hair and reduce frizz. Limited time offer.,Beauty & Personal Care,54.37,4.4
242,Colored Pencil Art Set 48 Colors Essential - White,Professional grade pencils with blending tools for drawing and sketching. Best seller in category.,Books & Stationery,33.38,4.1
243,Tablet Stand Adjustable Pro,"Aluminum foldable stand for tablets and e-readers, ideal for desk and kitchen use.",Electronics,591.75,4.5
244,Beard Grooming Kit Plus - Gray,"Trimming oil, balm, and comb set for beard care and styling. Eco-friendly packaging.",Beauty & Personal Care,71.78,4.7
245,Electric Toothbrush Rechargeable Pro,Sonic brush with multiple modes and two-minute timer for dental health. Best seller in category.,Beauty & Personal Care,42.94,4.2
246,Smart Home Security Camera Deluxe - White,"1080p indoor camera with night vision, motion alerts, and two-way audio via mobile app.",Electronics,333.82,4.3
247,Plush Teddy Bear Large Lite,Soft hypoallergenic stuffed animal gift for toddlers and collectors.,Toys & Games,60.83,4.2
248,Waterproof Rain Jacket Unisex Essential - White,"Lightweight packable rain shell with hood, ideal for travel and commuting.",Clothing,230.29,4.2
249,Resistance Bands Set Lite - Gray,Five latex bands with handles and door anchor for full-body home workouts. Eco-friendly packaging.,Sports & Outdoors,217.18,3.8
250,Posture Corrector Back Brace - Red,Adjustable shoulder support to improve desk posture and reduce slouching. Limited time offer.,Health & Wellness,70.8,3.8
251,Mechanical Gaming Keyboard RGB Plus,"Tactile switches, per-key RGB lighting, and programmable macros for competitive gaming. Limited time offer.",Electronics,451.82,4.5
252,Retinol Night Cream,Anti-aging night moisturizer to smooth fine lines and even skin tone.,Beauty & Personal Care,13.84,4.7
253,Hardcover Notebook A5 Ruled Pro,200-page journal with thick paper suitable for fountain pens and bullet journaling. Free shipping eligible.,Books & Stationery,8.17,4.1
254,Women's Fleece Lined Leggings Lite,Thermal leggings with soft fleece interior for cozy winter layering and yoga.,Clothing,91.19,4.0
255,Stainless Steel Cookware Set 10-Piece Essential,Non-stick pots and pans with even heat distribution for everyday cooking.,Home & Kitchen,121.9,3.3
256,Essential Oil Diffuser Ultrasonic Pro - Black,Aromatherapy humidifier with LED mood lighting and timer settings.,Health & Wellness,14.75,3.2
257,Fitness Tracker Watch - White,"Heart rate, step count, sleep monitoring, and smartphone notifications on wrist.",Health & Wellness,172.17,4.9
258,Colored Pencil Art Set 48 Colors Classic - Navy,Professional grade pencils with blending tools for drawing and sketching.,Books & Stationery,11.99,3.8
259,Educational Science Experiment Kit Pro,Safe chemistry and physics experiments with illustrated guide for young scientists.,Toys & Games,18.26,2.7
260,Blue Light Blocking Glasses Classic - White,Computer glasses reducing eye strain during long screen sessions.,Health & Wellness,191.23,5.0
261,Productivity Planner 2026,"Undated daily planner with goal tracking, habit pages, and monthly reviews.",Books & Stationery,36.11,3.9
262,Air Fryer 5 Quart Plus - White,"Digital air fryer for crispy meals with less oil, includes recipe booklet.",Home & Kitchen,245.62,3.4
263,Wireless Bluetooth Headphones Classic - Black,"Premium over-ear headphones with active noise cancellation, 30-hour battery life, and deep bass for music lovers.",Electronics,357.85,4.2
264,Art and Craft Supply Box Lite - Red,"Glitter, glue, scissors, and paper assortment for creative kids projects. Free shipping eligible.",Toys & Games,10.74,4.6
265,Productivity Planner 2026,"Undated daily planner with goal tracking, habit pages, and monthly reviews.",Books & Stationery,26.48,4.5
266,HDMI Cable 6ft 4K Essential - Gray,High-speed HDMI 2.0 cable supporting 4K at 60Hz for monitors and projectors.,Electronics,161.66,4.6
267,Meditation and Mindfulness Workbook Deluxe,"Guided exercises for stress relief, breathing techniques, and daily calm.",Books & Stationery,44.58,3.7
268,Hydrating Moisturizer SPF 30 Plus - Gray,Daily facial lotion with broad spectrum sun protection and hyaluronic acid.,Beauty & Personal Care,75.96,4.9
269,Makeup Brush Set 12-Piece Pro,"Synthetic bristle brushes for foundation, blush, and eye makeup application.",Beauty & Personal Care,19.47,4.9
270,Sticky Notes Assorted Pack Ultra - Navy,Neon and pastel repositionable notes for office and study organization. Limited time offer.,Books & Stationery,21.31,4.9
271,Weighted Blanket 15lb Essential,Calming blanket for improved sleep quality and reduced anxiety.,Home & Kitchen,268.01,4.3
272,Wool Blend Sweater Lite - White,"Classic knit pullover with ribbed cuffs, warm and stylish for fall and winter.",Clothing,123.23,4.0
273,Sun Protection UV Shirt Lite,"Long sleeve UPF 50+ shirt for beach, fishing, and outdoor activities.",Clothing,54.88,4.0
274,Memory Foam Pillow Queen Plus - Red,Ergonomic cervical support pillow for better sleep and neck alignment.,Home & Kitchen,32.78,3.4
275,Jigsaw Puzzle 1000 Pieces Landscape Classic - Gray,Challenging adult puzzle featuring scenic mountain lake photography.,Toys & Games,30.15,3.9
276,Essential Oil Diffuser Ultrasonic Essential - Red,Aromatherapy humidifier with LED mood lighting and timer settings.,Health & Wellness,121.67,3.0
277,Classic Novel Collection Box Set Pro,Timeless literature anthology with embossed hardcover bindings. Limited time offer.,Books & Stationery,9.28,3.4
278,Blue Light Blocking Glasses,Computer glasses reducing eye strain during long screen sessions.,Health & Wellness,169.75,4.3
279,Children's Illustrated Storybook Classic,Colorful picture book with moral tales for bedtime reading ages 4-8.,Books & Stationery,31.32,4.1
280,Folding Camping Chair Pro,"Portable outdoor chair with cup holder, lightweight for beach and tailgating. Eco-friendly packaging.",Sports & Outdoors,309.14,4.3
281,Lip Balm SPF 15 Pack Classic - Red,Moisturizing lip protection with vitamin E for daily outdoor use. Best seller in category.,Beauty & Personal Care,37.7,4.6
282,Yoga Block and Strap Set Lite,Cork blocks and cotton strap to improve flexibility and alignment in poses.,Health & Wellness,75.29,4.4
283,Merino Wool Hiking Socks,Cushioned wool socks that regulate temperature on long trail hikes. Limited time offer.,Clothing,126.37,4.3
284,Men's Winter Puffer Jacket Plus,"Insulated warm jacket with water-resistant shell, perfect for cold weather trips and outdoor hiking. Best seller in category.",Clothing,213.93,4.2
285,Wooden Chess Set Foldable Plus,"Handcrafted chess board with storage for pieces, travel friendly. Best seller in category.",Toys & Games,72.76,3.8
286,Beginner Python Programming Guide Essential,"Hands-on coding book covering fundamentals, data structures, and projects. Limited time offer.",Books & Stationery,39.16,3.6
287,Tablet Stand Adjustable Essential,"Aluminum foldable stand for tablets and e-readers, ideal for desk and kitchen use. Limited time offer.",Electronics,455.95,3.9
288,Adjustable Dumbbell Set Plus,Space-saving adjustable weights from 5 to 52.5 lbs for home strength training.,Sports & Outdoors,59.79,4.2
289,Sun Protection UV Shirt Essential,"Long sleeve UPF 50+ shirt for beach, fishing, and outdoor activities. Best seller in category.",Clothing,229.41,4.2
290,Denim Jacket Classic Fit Pro,"Timeless denim outerwear with button closure, versatile casual layer.",Clothing,54.07,4.7
291,Electric Toothbrush Rechargeable Plus - Red,Sonic brush with multiple modes and two-minute timer for dental health. Eco-friendly packaging.,Beauty & Personal Care,23.52,4.1
292,Women's Fleece Lined Leggings Ultra,Thermal leggings with soft fleece interior for cozy winter layering and yoga.,Clothing,231.81,4.5
293,Robot Vacuum Cleaner Lite,"Smart mapping vacuum with app control, ideal for pet hair on hardwood and carpet. Highly rated by customers.",Home & Kitchen,119.79,3.5
294,Weighted Blanket 15lb Plus,Calming blanket for improved sleep quality and reduced anxiety.,Home & Kitchen,20.42,4.3
295,Cotton Crew Neck T-Shirt Pack - Gray,"Breathable everyday tees in assorted colors, machine washable and durable.",Clothing,178.62,4.3
296,Exfoliating Face Scrub Plus,Gentle walnut scrub to remove dead skin cells and unclog pores. Eco-friendly packaging.,Beauty & Personal Care,87.53,4.9
297,Programmable Coffee Maker Classic,"12-cup drip coffee machine with timer, reusable filter, and auto shut-off.",Home & Kitchen,176.05,4.1
298,Camping Tent 4-Person Classic - Red,"Waterproof dome tent with easy setup, ventilation windows, and rainfly for family trips. Highly rated by customers.",Sports & Outdoors,362.36,3.0
299,Art and Craft Supply Box Lite,"Glitter, glue, scissors, and paper assortment for creative kids projects. Best seller in category.",Toys & Games,76.46,4.1
300,Ceramic Nonstick Frying Pan Essential - Gray,Induction-compatible skillet with PFOA-free coating for healthy cooking. Best seller in category.,Home & Kitchen,304.91,4.6
301,Folding Camping Chair Ultra - Navy,"Portable outdoor chair with cup holder, lightweight for beach and tailgating. Highly rated by customers.",Sports & Outdoors,297.58,3.6
302,Herbal Sleep Tea Blend Plus,Caffeine-free chamomile and valerian tea for relaxing bedtime routine. Limited time offer.,Health & Wellness,115.43,4.3
303,Foam Roller Muscle Recovery Pro - Gray,High-density roller for myofascial release after workouts and physical therapy. Limited time offer.,Health & Wellness,193.36,3.6
304,Men's Winter Puffer Jacket Plus,"Insulated warm jacket with water-resistant shell, perfect for cold weather trips and outdoor hiking. Highly rated by customers.",Clothing,80.31,5.0
305,Sticky Notes Assorted Pack Pro - Black,Neon and pastel repositionable notes for office and study organization. Limited time offer.,Books & Stationery,35.25,4.0
306,Mechanical Gaming Keyboard RGB Ultra,"Tactile switches, per-key RGB lighting, and programmable macros for competitive gaming.",Electronics,124.5,3.6
307,Camping Tent 4-Person Ultra - White,"Waterproof dome tent with easy setup, ventilation windows, and rainfly for family trips.",Sports & Outdoors,314.61,3.9
308,Vitamin C Face Serum Pro - Red,Brightening antioxidant serum to reduce dark spots and improve skin radiance.,Beauty & Personal Care,87.83,4.3
309,Sun Protection UV Shirt Plus,"Long sleeve UPF 50+ shirt for beach, fishing, and outdoor activities. Best seller in category.",Clothing,243.77,4.5
310,Thermal Base Layer Top Classic,"Moisture-wicking base layer for skiing, snowboarding, and winter sports.",Clothing,200.1,4.8
311,Men's Winter Puffer Jacket,"Insulated warm jacket with water-resistant shell, perfect for cold weather trips and outdoor hiking. Eco-friendly packaging.",Clothing,143.64,3.9
312,Herbal Sleep Tea Blend Ultra,Caffeine-free chamomile and valerian tea for relaxing bedtime routine.,Health & Wellness,184.92,4.6
313,Sleeping Bag 3-Season Pro,Compact mummy bag rated to 20°F for backpacking and car camping.,Sports & Outdoors,34.01,3.4
314,Fitness Tracker Watch Classic,"Heart rate, step count, sleep monitoring, and smartphone notifications on wrist. Best seller in category.",Health & Wellness,21.11,3.7
315,Massage Gun Percussion - Gray,Cordless deep tissue massager with adjustable speeds for muscle soreness relief.,Health & Wellness,138.28,3.5
316,Sun Protection UV Shirt Deluxe,"Long sleeve UPF 50+ shirt for beach, fishing, and outdoor activities. Highly rated by customers.",Clothing,195.37,3.8
317,Yoga Block and Strap Set Ultra,Cork blocks and cotton strap to improve flexibility and alignment in poses. Eco-friendly packaging.,Health & Wellness,150.27,4.6
318,Makeup Brush Set 12-Piece Pro - Gray,"Synthetic bristle brushes for foundation, blush, and eye makeup application.",Beauty & Personal Care,11.97,3.9
319,Plush Teddy Bear Large,Soft hypoallergenic stuffed animal gift for toddlers and collectors.,Toys & Games,52.91,4.0
320,Lip Balm SPF 15 Pack Essential,Moisturizing lip protection with vitamin E for daily outdoor use.,Beauty & Personal Care,8.36,4.3
321,Tablet Stand Adjustable Essential,"Aluminum foldable stand for tablets and e-readers, ideal for desk and kitchen use. Free shipping eligible.",Electronics,613.72,4.4
322,Protein Powder Whey Isolate Essential,"Low-carb post-workout supplement with 25g protein per serving, vanilla flavor.",Health & Wellness,87.05,4.0
323,Argan Oil Hair Treatment Plus - Red,Nourishing leave-in oil to repair dry damaged hair and reduce frizz.,Beauty & Personal Care,62.4,3.7
324,Family Board Game Strategy Plus,"Award-winning tabletop game for 2-4 players, 45-minute play time. Best seller in category.",Toys & Games,68.84,5.0
325,Portable Power Bank 20000mAh Deluxe,High-capacity external battery with dual USB ports and fast charge support for phones and tablets. Free shipping eligible.,Electronics,769.36,4.0
326,Vitamin C Face Serum Deluxe - Gray,Brightening antioxidant serum to reduce dark spots and improve skin radiance.,Beauty & Personal Care,55.82,4.0
327,Portable Power Bank 20000mAh Lite,High-capacity external battery with dual USB ports and fast charge support for phones and tablets. Free shipping eligible.,Electronics,257.95,4.1
328,Electric Toothbrush Rechargeable Deluxe,Sonic brush with multiple modes and two-minute timer for dental health.,Beauty & Personal Care,23.2,4.5
329,Hardcover Notebook A5 Ruled Classic - Navy,200-page journal with thick paper suitable for fountain pens and bullet journaling.,Books & Stationery,19.34,3.5
330,Robot Vacuum Cleaner Classic - White,"Smart mapping vacuum with app control, ideal for pet hair on hardwood and carpet. Eco-friendly packaging.",Home & Kitchen,285.26,5.0
331,Insulated Water Bottle 32oz Pro,"Double-wall stainless bottle keeps drinks cold 24 hours, hot 12 hours.",Sports & Outdoors,132.32,4.0
332,Robot Vacuum Cleaner Deluxe,"Smart mapping vacuum with app control, ideal for pet hair on hardwood and carpet.",Home & Kitchen,63.29,4.5
333,Cycling Helmet Adult Deluxe,Ventilated road bike helmet with adjustable fit system and MIPS protection. Highly rated by customers.,Sports & Outdoors,398.08,3.6
334,Classic Novel Collection Box Set Essential,Timeless literature anthology with embossed hardcover bindings. Limited time offer.,Books & Stationery,29.21,4.3
335,Posture Corrector Back Brace Ultra,Adjustable shoulder support to improve desk posture and reduce slouching. Free shipping eligible.,Health & Wellness,183.16,5.0
336,HDMI Cable 6ft 4K Ultra,High-speed HDMI 2.0 cable supporting 4K at 60Hz for monitors and projectors. Highly rated by customers.,Electronics,133.78,5.0
337,Mechanical Gaming Keyboard RGB Plus - Red,"Tactile switches, per-key RGB lighting, and programmable macros for competitive gaming. Free shipping eligible.",Electronics,74.38,4.5
338,Denim Jacket Classic Fit Pro,"Timeless denim outerwear with button closure, versatile casual layer. Limited time offer.",Clothing,16.19,3.8
339,Lip Balm SPF 15 Pack - Red,Moisturizing lip protection with vitamin E for daily outdoor use.,Beauty & Personal Care,59.4,4.8
340,Beard Grooming Kit Essential,"Trimming oil, balm, and comb set for beard care and styling.",Beauty & Personal Care,42.05,3.4
341,Thermal Base Layer Top Essential,"Moisture-wicking base layer for skiing, snowboarding, and winter sports. Highly rated by customers.",Clothing,190.22,3.7
342,Wool Blend Sweater - Navy,"Classic knit pullover with ribbed cuffs, warm and stylish for fall and winter.",Clothing,79.44,4.2
343,Digital Body Weight Scale Pro,"Bluetooth smart scale tracking weight, BMI, and body composition trends.",Health & Wellness,55.96,3.4
344,Calligraphy Pen Set Lite - White,"Dip pens, ink, and practice sheets for hand lettering beginners. Best seller in category.",Books & Stationery,41.45,3.9
345,Electric Kettle 1.7L Pro,Fast-boil stainless kettle with auto shut-off for tea and instant meals.,Home & Kitchen,263.71,4.6
346,Memory Foam Pillow Queen Classic - Red,Ergonomic cervical support pillow for better sleep and neck alignment. Limited time offer.,Home & Kitchen,234.29,3.8
347,Retinol Night Cream Pro - White,Anti-aging night moisturizer to smooth fine lines and even skin tone. Highly rated by customers.,Beauty & Personal Care,27.55,4.6
348,Memory Foam Pillow Queen Essential,Ergonomic cervical support pillow for better sleep and neck alignment. Highly rated by customers.,Home & Kitchen,69.45,5.0
349,Camping Tent 4-Person Classic,"Waterproof dome tent with easy setup, ventilation windows, and rainfly for family trips.",Sports & Outdoors,232.8,4.4
350,Beard Grooming Kit Classic - Gray,"Trimming oil, balm, and comb set for beard care and styling.",Beauty & Personal Care,71.49,4.6
351,Women's Fleece Lined Leggings Pro,Thermal leggings with soft fleece interior for cozy winter layering and yoga. Best seller in category.,Clothing,124.87,4.8
352,Wooden Chess Set Foldable Ultra - Gray,"Handcrafted chess board with storage for pieces, travel friendly.",Toys & Games,56.55,4.0
353,Vitamin C Face Serum Pro,Brightening antioxidant serum to reduce dark spots and improve skin radiance. Limited time offer.,Beauty & Personal Care,23.0,4.6
354,Denim Jacket Classic Fit Plus - Black,"Timeless denim outerwear with button closure, versatile casual layer.",Clothing,36.15,4.0
355,Noise Cancelling Earbuds Pro - White,True wireless earbuds with transparency mode and sweat resistance for workouts.,Electronics,859.53,4.4
356,Hydrating Moisturizer SPF 30 Lite,Daily facial lotion with broad spectrum sun protection and hyaluronic acid. Limited time offer.,Beauty & Personal Care,43.07,4.7
357,Men's Winter Puffer Jacket Deluxe,"Insulated warm jacket with water-resistant shell, perfect for cold weather trips and outdoor hiking. Limited time offer.",Clothing,239.47,3.8
358,Denim Jacket Classic Fit Deluxe,"Timeless denim outerwear with button closure, versatile casual layer.",Clothing,21.74,3.0
359,Programmable Coffee Maker Plus,"12-cup drip coffee machine with timer, reusable filter, and auto shut-off. Eco-friendly packaging.",Home & Kitchen,39.69,3.7
360,Argan Oil Hair Treatment,Nourishing leave-in oil to repair dry damaged hair and reduce frizz.,Beauty & Personal Care,49.8,4.8
361,Yoga Block and Strap Set Deluxe - Gray,Cork blocks and cotton strap to improve flexibility and alignment in poses.,Health & Wellness,21.53,3.7
362,Mechanical Gaming Keyboard RGB Classic - Gray,"Tactile switches, per-key RGB lighting, and programmable macros for competitive gaming.",Electronics,354.9,4.7
363,Sleeping Bag 3-Season Classic,Compact mummy bag rated to 20°F for backpacking and car camping. Best seller in category.,Sports & Outdoors,284.61,3.7
364,Sleeping Bag 3-Season Classic,Compact mummy bag rated to 20°F for backpacking and car camping.,Sports & Outdoors,134.49,4.1
365,Classic Novel Collection Box Set Ultra,Timeless literature anthology with embossed hardcover bindings.,Books & Stationery,22.25,4.2
366,Herbal Sleep Tea Blend Plus,Caffeine-free chamomile and valerian tea for relaxing bedtime routine. Limited time offer.,Health & Wellness,32.96,3.7
367,Hardcover Notebook A5 Ruled Plus - Gray,200-page journal with thick paper suitable for fountain pens and bullet journaling.,Books & Stationery,6.05,4.1
368,Vitamin C Face Serum Lite,Brightening antioxidant serum to reduce dark spots and improve skin radiance.,Beauty & Personal Care,47.65,3.4
369,Yoga Mat Non-Slip 6mm Plus,"Extra thick exercise mat with carrying strap for yoga, pilates, and floor workouts.",Sports & Outdoors,183.47,4.0
370,Lip Balm SPF 15 Pack Ultra,Moisturizing lip protection with vitamin E for daily outdoor use. Highly rated by customers.,Beauty & Personal Care,76.14,4.2
371,Hydrating Moisturizer SPF 30 Essential,Daily facial lotion with broad spectrum sun protection and hyaluronic acid.,Beauty & Personal Care,34.12,3.1
372,Educational Science Experiment Kit Classic,Safe chemistry and physics experiments with illustrated guide for young scientists.,Toys & Games,43.11,3.7
373,USB-C Laptop Charger 65W Pro - Gray,"Fast charging adapter compatible with most ultrabooks and tablets, compact travel design.",Electronics,216.78,4.3
374,Camping Tent 4-Person Lite,"Waterproof dome tent with easy setup, ventilation windows, and rainfly for family trips.",Sports & Outdoors,372.62,3.6
375,Jigsaw Puzzle 1000 Pieces Landscape Classic,Challenging adult puzzle featuring scenic mountain lake photography.,Toys & Games,41.79,4.4
376,Waterproof Rain Jacket Unisex Ultra,"Lightweight packable rain shell with hood, ideal for travel and commuting.",Clothing,47.66,4.5
377,Makeup Brush Set 12-Piece Ultra,"Synthetic bristle brushes for foundation, blush, and eye makeup application.",Beauty & Personal Care,19.19,4.3
378,Essential Oil Diffuser Ultrasonic Lite,Aromatherapy humidifier with LED mood lighting and timer settings.,Health & Wellness,13.73,4.6
379,Lip Balm SPF 15 Pack Classic - White,Moisturizing lip protection with vitamin E for daily outdoor use. Eco-friendly packaging.,Beauty & Personal Care,10.53,3.4
380,Posture Corrector Back Brace Pro,Adjustable shoulder support to improve desk posture and reduce slouching.,Health & Wellness,127.97,4.7
381,Beard Grooming Kit Essential - White,"Trimming oil, balm, and comb set for beard care and styling. Highly rated by customers.",Beauty & Personal Care,54.11,3.7
382,Herbal Sleep Tea Blend Ultra,Caffeine-free chamomile and valerian tea for relaxing bedtime routine.,Health & Wellness,170.84,4.2
383,Electric Toothbrush Rechargeable Classic - Black,Sonic brush with multiple modes and two-minute timer for dental health. Eco-friendly packaging.,Beauty & Personal Care,77.12,5.0
384,Thermal Base Layer Top Essential - White,"Moisture-wicking base layer for skiing, snowboarding, and winter sports.",Clothing,50.57,4.0
385,Posture Corrector Back Brace Deluxe - Gray,Adjustable shoulder support to improve desk posture and reduce slouching. Eco-friendly packaging.,Health & Wellness,171.98,4.2
386,Remote Control Car Off-Road Deluxe,Rechargeable RC truck with shock absorbers for indoor and outdoor play.,Toys & Games,73.4,3.7
387,Electric Toothbrush Rechargeable Pro - Gray,Sonic brush with multiple modes and two-minute timer for dental health.,Beauty & Personal Care,56.88,5.0
388,Mechanical Gaming Keyboard RGB Classic,"Tactile switches, per-key RGB lighting, and programmable macros for competitive gaming. Eco-friendly packaging.",Electronics,334.6,3.7
389,Yoga Block and Strap Set Lite - Gray,Cork blocks and cotton strap to improve flexibility and alignment in poses.,Health & Wellness,71.54,4.5
390,Wooden Chess Set Foldable Ultra,"Handcrafted chess board with storage for pieces, travel friendly. Free shipping eligible.",Toys & Games,51.45,4.8
391,Yoga Block and Strap Set Pro,Cork blocks and cotton strap to improve flexibility and alignment in poses.,Health & Wellness,89.42,4.6
392,Meditation and Mindfulness Workbook Plus,"Guided exercises for stress relief, breathing techniques, and daily calm.",Books & Stationery,9.05,4.4
393,Plush Teddy Bear Large Classic - Red,Soft hypoallergenic stuffed animal gift for toddlers and collectors. Highly rated by customers.,Toys & Games,33.91,4.2
394,Card Game Party Pack Lite - Red,Fast-paced multiplayer card game suitable for ages 10 and up.,Toys & Games,21.42,3.6
395,Exfoliating Face Scrub Essential - Navy,Gentle walnut scrub to remove dead skin cells and unclog pores. Limited time offer.,Beauty & Personal Care,65.36,5.0
396,Outdoor Bubble Machine Essential - Red,Battery-powered bubble blower for birthday parties and backyard fun. Limited time offer.,Toys & Games,31.88,4.3
397,Posture Corrector Back Brace Classic,Adjustable shoulder support to improve desk posture and reduce slouching.,Health & Wellness,123.05,4.2
398,Digital Body Weight Scale Deluxe,"Bluetooth smart scale tracking weight, BMI, and body composition trends. Limited time offer.",Health & Wellness,38.88,3.7
399,Folding Camping Chair Lite - Navy,"Portable outdoor chair with cup holder, lightweight for beach and tailgating.",Sports & Outdoors,85.55,4.2
400,Retinol Night Cream Deluxe,Anti-aging night moisturizer to smooth fine lines and even skin tone.,Beauty & Personal Care,88.33,4.2
401,Outdoor Bubble Machine Ultra - Navy,Battery-powered bubble blower for birthday parties and backyard fun. Highly rated by customers.,Toys & Games,11.14,5.0
402,Cycling Helmet Adult,Ventilated road bike helmet with adjustable fit system and MIPS protection. Limited time offer.,Sports & Outdoors,241.58,4.2
403,Classic Novel Collection Box Set Deluxe - Black,Timeless literature anthology with embossed hardcover bindings.,Books & Stationery,40.99,4.2
404,Art and Craft Supply Box Deluxe - Red,"Glitter, glue, scissors, and paper assortment for creative kids projects.",Toys & Games,47.0,3.7
405,Waterproof Rain Jacket Unisex Lite,"Lightweight packable rain shell with hood, ideal for travel and commuting. Eco-friendly packaging.",Clothing,76.75,3.8
406,Weighted Blanket 15lb Lite,Calming blanket for improved sleep quality and reduced anxiety.,Home & Kitchen,214.8,4.5
407,Building Blocks STEM Kit 500pc Pro - Black,Creative construction set encouraging engineering skills for kids ages 6+.,Toys & Games,55.79,3.3
