id,title,description,category,price,rating,search_text
162,Adjustable Dumbbell Set,Space-saving adjustable weights from 5 to 52.5 lbs for home strength training. Eco-friendly packaging.,Sports & Outdoors,221.9,4.2,Adjustable Dumbbell Set. Space-saving adjustable weights from 5 to 52.5 lbs for home strength training. Eco-friendly packaging.. Category: Sports & Outdoors
163,Blue Light Blocking Glasses - Red,Computer glasses reducing eye strain during long screen sessions. Eco-friendly packaging.,Health & Wellness,65.89,4.7,Blue Light Blocking Glasses - Red. Computer glasses reducing eye strain during long screen sessions. Eco-friendly packaging.. Category: Health & Wellness
164,Wireless Mouse Ergonomic Plus,Silent click wireless mouse with adjustable DPI and long-range Bluetooth connectivity. Limited time offer.,Electronics,193.93,4.6,Wireless Mouse Ergonomic Plus. Silent click wireless mouse with adjustable DPI and long-range Bluetooth connectivity. Limited time offer.. Category: Electronics
165,Robot Vacuum Cleaner Ultra - Navy,"Smart mapping vacuum with app control, ideal for pet hair on hardwood and carpet. Best seller in category.",Home & Kitchen,302.9,4.2,"Robot Vacuum Cleaner Ultra - Navy. Smart mapping vacuum with app control, ideal for pet hair on hardwood and carpet. Best seller in category.. Category: Home & Kitchen"
166,Retinol Night Cream Ultra,Anti-aging night moisturizer to smooth fine lines and even skin tone. Highly rated by customers.,Beauty & Personal Care,57.76,4.6,Retinol Night Cream Ultra. Anti-aging night moisturizer to smooth fine lines and even skin tone. Highly rated by customers.. Category: Beauty & Personal Care
167,Electric Toothbrush Rechargeable Ultra - White,Sonic brush with multiple modes and two-minute timer for dental health. Best seller in category.,Beauty & Personal Care,66.78,4.6,Electric Toothbrush Rechargeable Ultra - White. Sonic brush with multiple modes and two-minute timer for dental health. Best seller in category.. Category: Beauty & Personal Care
168,Foam Roller Muscle Recovery,High-density roller for myofascial release after workouts and physical therapy.,Health & Wellness,187.02,4.2,Foam Roller Muscle Recovery. High-density roller for myofascial release after workouts and physical therapy.. Category: Health & Wellness
169,Hydrating Moisturizer SPF 30 Pro - Navy,Daily facial lotion with broad spectrum sun protection and hyaluronic acid. Free shipping eligible.,Beauty & Personal Care,85.67,3.9,Hydrating Moisturizer SPF 30 Pro - Navy. Daily facial lotion with broad spectrum sun protection and hyaluronic acid. Free shipping eligible.. Category: Beauty & Personal Care
170,Outdoor Bubble Machine Classic,Battery-powered bubble blower for birthday parties and backyard fun.,Toys & Games,50.96,4.5,Outdoor Bubble Machine Classic. Battery-powered bubble blower for birthday parties and backyard fun.. Category: Toys & Games
171,Makeup Brush Set 12-Piece Classic,"Synthetic bristle brushes for foundation, blush, and eye makeup application.",Beauty & Personal Care,72.4,3.7,"Makeup Brush Set 12-Piece Classic. Synthetic bristle brushes for foundation, blush, and eye makeup application.. Category: Beauty & Personal Care"
172,Foam Roller Muscle Recovery Plus - Navy,High-density roller for myofascial release after workouts and physical therapy. Best seller in category.,Health & Wellness,59.38,3.6,Foam Roller Muscle Recovery Plus - Navy. High-density roller for myofascial release after workouts and physical therapy. Best seller in category.. Category: Health & Wellness
173,Running Shorts Quick Dry - Gray,Lightweight athletic shorts with moisture-wicking fabric and inner liner. Highly rated by customers.,Clothing,34.53,4.4,Running Shorts Quick Dry - Gray. Lightweight athletic shorts with moisture-wicking fabric and inner liner. Highly rated by customers.. Category: Clothing
174,Trail Running Shoes,Lightweight grippy soles with cushioned midsole for rocky and muddy trails.,Sports & Outdoors,234.12,4.5,Trail Running Shoes. Lightweight grippy soles with cushioned midsole for rocky and muddy trails.. Category: Sports & Outdoors
175,Wool Blend Sweater Classic - Red,"Classic knit pullover with ribbed cuffs, warm and stylish for fall and winter. Best seller in category.",Clothing,122.44,4.4,"Wool Blend Sweater Classic - Red. Classic knit pullover with ribbed cuffs, warm and stylish for fall and winter. Best seller in category.. Category: Clothing"
176,Cycling Helmet Adult Deluxe,Ventilated road bike helmet with adjustable fit system and MIPS protection.,Sports & Outdoors,309.53,4.4,Cycling Helmet Adult Deluxe. Ventilated road bike helmet with adjustable fit system and MIPS protection.. Category: Sports & Outdoors
177,Building Blocks STEM Kit 500pc Lite,Creative construction set encouraging engineering skills for kids ages 6+.,Toys & Games,43.96,3.2,Building Blocks STEM Kit 500pc Lite. Creative construction set encouraging engineering skills for kids ages 6+.. Category: Toys & Games
178,Ceramic Nonstick Frying Pan Plus - White,Induction-compatible skillet with PFOA-free coating for healthy cooking. Best seller in category.,Home & Kitchen,326.24,4.5,Ceramic Nonstick Frying Pan Plus - White. Induction-compatible skillet with PFOA-free coating for healthy cooking. Best seller in category.. Category: Home & Kitchen
179,Argan Oil Hair Treatment Deluxe - White,Nourishing leave-in oil to repair dry damaged hair and reduce frizz. Eco-friendly packaging.,Beauty & Personal Care,17.49,4.9,Argan Oil Hair Treatment Deluxe - White. Nourishing leave-in oil to repair dry damaged hair and reduce frizz. Eco-friendly packaging.. Category: Beauty & Personal Care
180,Protein Powder Whey Isolate Classic - Navy,"Low-carb post-workout supplement with 25g protein per serving, vanilla flavor.",Health & Wellness,135.02,4.6,"Protein Powder Whey Isolate Classic - Navy. Low-carb post-workout supplement with 25g protein per serving, vanilla flavor.. Category: Health & Wellness"
181,Retinol Night Cream Essential - Gray,Anti-aging night moisturizer to smooth fine lines and even skin tone.,Beauty & Personal Care,70.72,4.6,Retinol Night Cream Essential - Gray. Anti-aging night moisturizer to smooth fine lines and even skin tone.. Category: Beauty & Personal Care
182,Hydrating Moisturizer SPF 30 Lite - Black,Daily facial lotion with broad spectrum sun protection and hyaluronic acid.,Beauty & Personal Care,35.02,4.3,Hydrating Moisturizer SPF 30 Lite - Black. Daily facial lotion with broad spectrum sun protection and hyaluronic acid.. Category: Beauty & Personal Care
183,Glass Food Storage Containers Ultra,"BPA-free meal prep containers with snap-lock lids, microwave safe. Best seller in category.",Home & Kitchen,270.4,4.3,"Glass Food Storage Containers Ultra. BPA-free meal prep containers with snap-lock lids, microwave safe. Best seller in category.. Category: Home & Kitchen"
184,Lip Balm SPF 15 Pack Plus,Moisturizing lip protection with vitamin E for daily outdoor use.,Beauty & Personal Care,37.5,4.1,Lip Balm SPF 15 Pack Plus. Moisturizing lip protection with vitamin E for daily outdoor use.. Category: Beauty & Personal Care
185,Plush Teddy Bear Large Essential - Navy,Soft hypoallergenic stuffed animal gift for toddlers and collectors.,Toys & Games,20.88,4.4,Plush Teddy Bear Large Essential - Navy. Soft hypoallergenic stuffed animal gift for toddlers and collectors.. Category: Toys & Games
186,Desk Organizer Bamboo - Navy,"Multi-compartment tray for pens, phones, and office supplies. Highly rated by customers.",Books & Stationery,42.51,3.7,"Desk Organizer Bamboo - Navy. Multi-compartment tray for pens, phones, and office supplies. Highly rated by customers.. Category: Books & Stationery"
187,HDMI Cable 6ft 4K Classic - White,High-speed HDMI 2.0 cable supporting 4K at 60Hz for monitors and projectors.,Electronics,353.85,4.9,HDMI Cable 6ft 4K Classic - White. High-speed HDMI 2.0 cable supporting 4K at 60Hz for monitors and projectors.. Category: Electronics
188,Productivity Planner 2026 Pro - Red,"Undated daily planner with goal tracking, habit pages, and monthly reviews. Best seller in category.",Books & Stationery,27.57,3.8,"Productivity Planner 2026 Pro - Red. Undated daily planner with goal tracking, habit pages, and monthly reviews. Best seller in category.. Category: Books & Stationery"
189,Vitamin C Face Serum Classic,Brightening antioxidant serum to reduce dark spots and improve skin radiance. Highly rated by customers.,Beauty & Personal Care,71.2,4.6,Vitamin C Face Serum Classic. Brightening antioxidant serum to reduce dark spots and improve skin radiance. Highly rated by customers.. Category: Beauty & Personal Care
190,Folding Camping Chair Lite - Navy,"Portable outdoor chair with cup holder, lightweight for beach and tailgating. Free shipping eligible.",Sports & Outdoors,162.64,4.9,"Folding Camping Chair Lite - Navy. Portable outdoor chair with cup holder, lightweight for beach and tailgating. Free shipping eligible.. Category: Sports & Outdoors"
191,Classic Novel Collection Box Set Plus,Timeless literature anthology with embossed hardcover bindings.,Books & Stationery,33.99,4.6,Classic Novel Collection Box Set Plus. Timeless literature anthology with embossed hardcover bindings.. Category: Books & Stationery
192,Noise Cancelling Earbuds Deluxe,True wireless earbuds with transparency mode and sweat resistance for workouts.,Electronics,119.74,5.0,Noise Cancelling Earbuds Deluxe. True wireless earbuds with transparency mode and sweat resistance for workouts.. Category: Electronics
193,Yoga Mat Non-Slip 6mm Ultra - Black,"Extra thick exercise mat with carrying strap for yoga, pilates, and floor workouts.",Sports & Outdoors,261.45,3.2,"Yoga Mat Non-Slip 6mm Ultra - Black. Extra thick exercise mat with carrying strap for yoga, pilates, and floor workouts.. Category: Sports & Outdoors"
194,Men's Winter Puffer Jacket Ultra - Black,"Insulated warm jacket with water-resistant shell, perfect for cold weather trips and outdoor hiking.",Clothing,151.42,4.0,"Men's Winter Puffer Jacket Ultra - Black. Insulated warm jacket with water-resistant shell, perfect for cold weather trips and outdoor hiking.. Category: Clothing"
195,Protein Powder Whey Isolate Plus,"Low-carb post-workout supplement with 25g protein per serving, vanilla flavor. Best seller in category.",Health & Wellness,14.3,4.9,"Protein Powder Whey Isolate Plus. Low-carb post-workout supplement with 25g protein per serving, vanilla flavor. Best seller in category.. Category: Health & Wellness"
196,Adjustable Dumbbell Set - Navy,Space-saving adjustable weights from 5 to 52.5 lbs for home strength training. Eco-friendly packaging.,Sports & Outdoors,332.83,3.6,Adjustable Dumbbell Set - Navy. Space-saving adjustable weights from 5 to 52.5 lbs for home strength training. Eco-friendly packaging.. Category: Sports & Outdoors
197,Stainless Steel Cookware Set 10-Piece Pro,Non-stick pots and pans with even heat distribution for everyday cooking.,Home & Kitchen,169.78,3.8,Stainless Steel Cookware Set 10-Piece Pro. Non-stick pots and pans with even heat distribution for everyday cooking.. Category: Home & Kitchen
198,Blue Light Blocking Glasses Deluxe - Navy,Computer glasses reducing eye strain during long screen sessions. Best seller in category.,Health & Wellness,68.46,4.5,Blue Light Blocking Glasses Deluxe - Navy. Computer glasses reducing eye strain during long screen sessions. Best seller in category.. Category: Health & Wellness
199,Sleeping Bag 3-Season Lite - Navy,Compact mummy bag rated to 20°F for backpacking and car camping.,Sports & Outdoors,316.11,3.5,Sleeping Bag 3-Season Lite - Navy. Compact mummy bag rated to 20°F for backpacking and car camping.. Category: Sports & Outdoors
200,Exfoliating Face Scrub Essential - Red,Gentle walnut scrub to remove dead skin cells and unclog pores.,Beauty & Personal Care,88.76,4.2,Exfoliating Face Scrub Essential - Red. Gentle walnut scrub to remove dead skin cells and unclog pores.. Category: Beauty & Personal Care
201,Productivity Planner 2026 Deluxe,"Undated daily planner with goal tracking, habit pages, and monthly reviews. Free shipping eligible.",Books & Stationery,17.07,4.4,"Productivity Planner 2026 Deluxe. Undated daily planner with goal tracking, habit pages, and monthly reviews. Free shipping eligible.. Category: Books & Stationery"
202,Herbal Sleep Tea Blend Classic - White,Caffeine-free chamomile and valerian tea for relaxing bedtime routine. Highly rated by customers.,Health & Wellness,31.9,4.3,Herbal Sleep Tea Blend Classic - White. Caffeine-free chamomile and valerian tea for relaxing bedtime routine. Highly rated by customers.. Category: Health & Wellness
203,Herbal Sleep Tea Blend Essential,Caffeine-free chamomile and valerian tea for relaxing bedtime routine.,Health & Wellness,28.91,4.3,Herbal Sleep Tea Blend Essential. Caffeine-free chamomile and valerian tea for relaxing bedtime routine.. Category: Health & Wellness
204,Adjustable Dumbbell Set Plus - Red,Space-saving adjustable weights from 5 to 52.5 lbs for home strength training. Limited time offer.,Sports & Outdoors,30.99,3.8,Adjustable Dumbbell Set Plus - Red. Space-saving adjustable weights from 5 to 52.5 lbs for home strength training. Limited time offer.. Category: Sports & Outdoors
205,Classic Novel Collection Box Set - Red,Timeless literature anthology with embossed hardcover bindings.,Books & Stationery,11.58,4.3,Classic Novel Collection Box Set - Red. Timeless literature anthology with embossed hardcover bindings.. Category: Books & Stationery
206,Cycling Helmet Adult Essential - Black,Ventilated road bike helmet with adjustable fit system and MIPS protection.,Sports & Outdoors,95.12,4.0,Cycling Helmet Adult Essential - Black. Ventilated road bike helmet with adjustable fit system and MIPS protection.. Category: Sports & Outdoors
207,Outdoor Bubble Machine Essential - White,Battery-powered bubble blower for birthday parties and backyard fun. Limited time offer.,Toys & Games,55.28,4.1,Outdoor Bubble Machine Essential - White. Battery-powered bubble blower for birthday parties and backyard fun. Limited time offer.. Category: Toys & Games
208,Family Board Game Strategy Deluxe - White,"Award-winning tabletop game for 2-4 players, 45-minute play time. Best seller in category.",Toys & Games,10.37,4.6,"Family Board Game Strategy Deluxe - White. Award-winning tabletop game for 2-4 players, 45-minute play time. Best seller in category.. Category: Toys & Games"
209,HDMI Cable 6ft 4K Plus - Black,High-speed HDMI 2.0 cable supporting 4K at 60Hz for monitors and projectors. Best seller in category.,Electronics,550.64,3.6,HDMI Cable 6ft 4K Plus - Black. High-speed HDMI 2.0 cable supporting 4K at 60Hz for monitors and projectors. Best seller in category.. Category: Electronics
210,Digital Body Weight Scale Essential,"Bluetooth smart scale tracking weight, BMI, and body composition trends.",Health & Wellness,56.61,3.0,"Digital Body Weight Scale Essential. Bluetooth smart scale tracking weight, BMI, and body composition trends.. Category: Health & Wellness"
211,Hiking Backpack 40L Pro,Ergonomic trekking pack with hydration sleeve and rain cover for multi-day hikes. Limited time offer.,Sports & Outdoors,41.69,4.6,Hiking Backpack 40L Pro. Ergonomic trekking pack with hydration sleeve and rain cover for multi-day hikes. Limited time offer.. Category: Sports & Outdoors
212,Protein Powder Whey Isolate Ultra - White,"Low-carb post-workout supplement with 25g protein per serving, vanilla flavor.",Health & Wellness,185.5,4.3,"Protein Powder Whey Isolate Ultra - White. Low-carb post-workout supplement with 25g protein per serving, vanilla flavor.. Category: Health & Wellness"
213,Glass Food Storage Containers Classic,"BPA-free meal prep containers with snap-lock lids, microwave safe. Eco-friendly packaging.",Home & Kitchen,249.08,4.9,"Glass Food Storage Containers Classic. BPA-free meal prep containers with snap-lock lids, microwave safe. Eco-friendly packaging.. Category: Home & Kitchen"
214,Hydrating Moisturizer SPF 30 Lite - Red,Daily facial lotion with broad spectrum sun protection and hyaluronic acid. Limited time offer.,Beauty & Personal Care,11.25,3.8,Hydrating Moisturizer SPF 30 Lite - Red. Daily facial lotion with broad spectrum sun protection and hyaluronic acid. Limited time offer.. Category: Beauty & Personal Care
215,Beginner Python Programming Guide Pro,"Hands-on coding book covering fundamentals, data structures, and projects. Limited time offer.",Books & Stationery,10.87,4.2,"Beginner Python Programming Guide Pro. Hands-on coding book covering fundamentals, data structures, and projects. Limited time offer.. Category: Books & Stationery"
216,Jigsaw Puzzle 1000 Pieces Landscape Pro,Challenging adult puzzle featuring scenic mountain lake photography. Highly rated by customers.,Toys & Games,61.42,4.2,Jigsaw Puzzle 1000 Pieces Landscape Pro. Challenging adult puzzle featuring scenic mountain lake photography. Highly rated by customers.. Category: Toys & Games
217,Lip Balm SPF 15 Pack Classic,Moisturizing lip protection with vitamin E for daily outdoor use. Eco-friendly packaging.,Beauty & Personal Care,76.94,3.9,Lip Balm SPF 15 Pack Classic. Moisturizing lip protection with vitamin E for daily outdoor use. Eco-friendly packaging.. Category: Beauty & Personal Care
218,Meditation and Mindfulness Workbook Plus - Red,"Guided exercises for stress relief, breathing techniques, and daily calm.",Books & Stationery,34.65,3.8,"Meditation and Mindfulness Workbook Plus - Red. Guided exercises for stress relief, breathing techniques, and daily calm.. Category: Books & Stationery"
219,Remote Control Car Off-Road Ultra - White,Rechargeable RC truck with shock absorbers for indoor and outdoor play.,Toys & Games,28.68,4.6,Remote Control Car Off-Road Ultra - White. Rechargeable RC truck with shock absorbers for indoor and outdoor play.. Category: Toys & Games
220,Beard Grooming Kit Lite,"Trimming oil, balm, and comb set for beard care and styling. Limited time offer.",Beauty & Personal Care,87.4,3.5,"Beard Grooming Kit Lite. Trimming oil, balm, and comb set for beard care and styling. Limited time offer.. Category: Beauty & Personal Care"
221,Cotton Crew Neck T-Shirt Pack Essential - Red,"Breathable everyday tees in assorted colors, machine washable and durable.",Clothing,24.92,3.7,"Cotton Crew Neck T-Shirt Pack Essential - Red. Breathable everyday tees in assorted colors, machine washable and durable.. Category: Clothing"
222,Productivity Planner 2026 Deluxe,"Undated daily planner with goal tracking, habit pages, and monthly reviews.",Books & Stationery,7.65,4.1,"Productivity Planner 2026 Deluxe. Undated daily planner with goal tracking, habit pages, and monthly reviews.. Category: Books & Stationery"
223,Desk Organizer Bamboo Pro - Red,"Multi-compartment tray for pens, phones, and office supplies. Free shipping eligible.",Books & Stationery,33.67,4.7,"Desk Organizer Bamboo Pro - Red. Multi-compartment tray for pens, phones, and office supplies. Free shipping eligible.. Category: Books & Stationery"
224,Smart Home Security Camera Essential,"1080p indoor camera with night vision, motion alerts, and two-way audio via mobile app.",Electronics,96.08,3.9,"Smart Home Security Camera Essential. 1080p indoor camera with night vision, motion alerts, and two-way audio via mobile app.. Category: Electronics"
225,Essential Oil Diffuser Ultrasonic Lite,Aromatherapy humidifier with LED mood lighting and timer settings. Highly rated by customers.,Health & Wellness,195.27,3.9,Essential Oil Diffuser Ultrasonic Lite. Aromatherapy humidifier with LED mood lighting and timer settings. Highly rated by customers.. Category: Health & Wellness
226,Blue Light Blocking Glasses Lite - Black,Computer glasses reducing eye strain during long screen sessions.,Health & Wellness,158.62,4.1,Blue Light Blocking Glasses Lite - Black. Computer glasses reducing eye strain during long screen sessions.. Category: Health & Wellness
227,Sun Protection UV Shirt,"Long sleeve UPF 50+ shirt for beach, fishing, and outdoor activities. Highly rated by customers.",Clothing,147.66,4.4,"Sun Protection UV Shirt. Long sleeve UPF 50+ shirt for beach, fishing, and outdoor activities. Highly rated by customers.. Category: Clothing"
228,Outdoor Bubble Machine Deluxe,Battery-powered bubble blower for birthday parties and backyard fun. Free shipping eligible.,Toys & Games,75.28,4.0,Outdoor Bubble Machine Deluxe. Battery-powered bubble blower for birthday parties and backyard fun. Free shipping eligible.. Category: Toys & Games
229,Denim Jacket Classic Fit,"Timeless denim outerwear with button closure, versatile casual layer. Eco-friendly packaging.",Clothing,148.99,4.7,"Denim Jacket Classic Fit. Timeless denim outerwear with button closure, versatile casual layer. Eco-friendly packaging.. Category: Clothing"
230,Hydrating Moisturizer SPF 30,Daily facial lotion with broad spectrum sun protection and hyaluronic acid.,Beauty & Personal Care,60.59,4.8,Hydrating Moisturizer SPF 30. Daily facial lotion with broad spectrum sun protection and hyaluronic acid.. Category: Beauty & Personal Care
231,Meditation and Mindfulness Workbook Pro - Navy,"Guided exercises for stress relief, breathing techniques, and daily calm.",Books & Stationery,11.79,4.1,"Meditation and Mindfulness Workbook Pro - Navy. Guided exercises for stress relief, breathing techniques, and daily calm.. Category: Books & Stationery"
232,Makeup Brush Set 12-Piece Pro,"Synthetic bristle brushes for foundation, blush, and eye makeup application.",Beauty & Personal Care,40.73,5.0,"Makeup Brush Set 12-Piece Pro. Synthetic bristle brushes for foundation, blush, and eye makeup application.. Category: Beauty & Personal Care"
233,Posture Corrector Back Brace - Red,Adjustable shoulder support to improve desk posture and reduce slouching.,Health & Wellness,34.29,4.2,Posture Corrector Back Brace - Red. Adjustable shoulder support to improve desk posture and reduce slouching.. Category: Health & Wellness
234,Desk Organizer Bamboo,"Multi-compartment tray for pens, phones, and office supplies.",Books & Stationery,16.84,4.7,"Desk Organizer Bamboo. Multi-compartment tray for pens, phones, and office supplies.. Category: Books & Stationery"
235,Hardcover Notebook A5 Ruled Ultra - Navy,200-page journal with thick paper suitable for fountain pens and bullet journaling. Best seller in category.,Books & Stationery,22.69,4.4,Hardcover Notebook A5 Ruled Ultra - Navy. 200-page journal with thick paper suitable for fountain pens and bullet journaling. Best seller in category.. Category: Books & Stationery
236,HDMI Cable 6ft 4K Pro,High-speed HDMI 2.0 cable supporting 4K at 60Hz for monitors and projectors.,Electronics,576.01,4.4,HDMI Cable 6ft 4K Pro. High-speed HDMI 2.0 cable supporting 4K at 60Hz for monitors and projectors.. Category: Electronics
237,Denim Jacket Classic Fit Deluxe - Gray,"Timeless denim outerwear with button closure, versatile casual layer.",Clothing,108.88,3.4,"Denim Jacket Classic Fit Deluxe - Gray. Timeless denim outerwear with button closure, versatile casual layer.. Category: Clothing"
238,Hydrating Moisturizer SPF 30 Ultra - Gray,Daily facial lotion with broad spectrum sun protection and hyaluronic acid.,Beauty & Personal Care,55.65,3.6,Hydrating Moisturizer SPF 30 Ultra - Gray. Daily facial lotion with broad spectrum sun protection and hyaluronic acid.. Category: Beauty & Personal Care
239,Plush Teddy Bear Large Ultra,Soft hypoallergenic stuffed animal gift for toddlers and collectors. Eco-friendly packaging.,Toys & Games,12.49,4.1,Plush Teddy Bear Large Ultra. Soft hypoallergenic stuffed animal gift for toddlers and collectors. Eco-friendly packaging.. Category: Toys & Games
240,Air Fryer 5 Quart Ultra,"Digital air fryer for crispy meals with less oil, includes recipe booklet.",Home & Kitchen,174.94,4.8,"Air Fryer 5 Quart Ultra. Digital air fryer for crispy meals with less oil, includes recipe booklet.. Category: Home & Kitchen"
241,Argan Oil Hair Treatment Classic,Nourishing leave-in oil to repair dry damaged hair and reduce frizz. Limited time offer.,Beauty & Personal Care,54.37,4.4,Argan Oil Hair Treatment Classic. Nourishing leave-in oil to repair dry damaged hair and reduce frizz. Limited time offer.. Category: Beauty & Personal Care
242,Colored Pencil Art Set 48 Colors Essential - White,Professional grade pencils with blending tools for drawing and sketching. Best seller in category.,Books & Stationery,33.38,4.1,Colored Pencil Art Set 48 Colors Essential - White. Professional grade pencils with blending tools for drawing and sketching. Best seller in category.. Category: Books & Stationery
243,Tablet Stand Adjustable Pro,"Aluminum foldable stand for tablets and e-readers, ideal for desk and kitchen use.",Electronics,591.75,4.5,"Tablet Stand Adjustable Pro. Aluminum foldable stand for tablets and e-readers, ideal for desk and kitchen use.. Category: Electronics"
244,Beard Grooming Kit Plus - Gray,"Trimming oil, balm, and comb set for beard care and styling. Eco-friendly packaging.",Beauty & Personal Care,71.78,4.7,"Beard Grooming Kit Plus - Gray. Trimming oil, balm, and comb set for beard care and styling. Eco-friendly packaging.. Category: Beauty & Personal Care"
245,Electric Toothbrush Rechargeable Pro,Sonic brush with multiple modes and two-minute timer for dental health. Best seller in category.,Beauty & Personal Care,42.94,4.2,Electric Toothbrush Rechargeable Pro. Sonic brush with multiple modes and two-minute timer for dental health. Best seller in category.. Category: Beauty & Personal Care
246,Smart Home Security Camera Deluxe - White,"1080p indoor camera with night vision, motion alerts, and two-way audio via mobile app.",Electronics,333.82,4.3,"Smart Home Security Camera Deluxe - White. 1080p indoor camera with night vision, motion alerts, and two-way audio via mobile app.. Category: Electronics"
247,Plush Teddy Bear Large Lite,Soft hypoallergenic stuffed animal gift for toddlers and collectors.,Toys & Games,60.83,4.2,Plush Teddy Bear Large Lite. Soft hypoallergenic stuffed animal gift for toddlers and collectors.. Category: Toys & Games
248,Waterproof Rain Jacket Unisex Essential - White,"Lightweight packable rain shell with hood, ideal for travel and commuting.",Clothing,230.29,4.2,"Waterproof Rain Jacket Unisex Essential - White. Lightweight packable rain shell with hood, ideal for travel and commuting.. Category: Clothing"
249,Resistance Bands Set Lite - Gray,Five latex bands with handles and door anchor for full-body home workouts. Eco-friendly packaging.,Sports & Outdoors,217.18,3.8,Resistance Bands Set Lite - Gray. Five latex bands with handles and door anchor for full-body home workouts. Eco-friendly packaging.. Category: Sports & Outdoors
250,Posture Corrector Back Brace - Red,Adjustable shoulder support to improve desk posture and reduce slouching. Limited time offer.,Health & Wellness,70.8,3.8,Posture Corrector Back Brace - Red. Adjustable shoulder support to improve desk posture and reduce slouching. Limited time offer.. Category: Health & Wellness
251,Mechanical Gaming Keyboard RGB Plus,"Tactile switches, per-key RGB lighting, and programmable macros for competitive gaming. Limited time offer.",Electronics,451.82,4.5,"Mechanical Gaming Keyboard RGB Plus. Tactile switches, per-key RGB lighting, and programmable macros for competitive gaming. Limited time offer.. Category: Electronics"
252,Retinol Night Cream,Anti-aging night moisturizer to smooth fine lines and even skin tone.,Beauty & Personal Care,13.84,4.7,Retinol Night Cream. Anti-aging night moisturizer to smooth fine lines and even skin tone.. Category: Beauty & Personal Care
253,Hardcover Notebook A5 Ruled Pro,200-page journal with thick paper suitable for fountain pens and bullet journaling. Free shipping eligible.,Books & Stationery,8.17,4.1,Hardcover Notebook A5 Ruled Pro. 200-page journal with thick paper suitable for fountain pens and bullet journaling. Free shipping eligible.. Category: Books & Stationery
254,Women's Fleece Lined Leggings Lite,Thermal leggings with soft fleece interior for cozy winter layering and yoga.,Clothing,91.19,4.0,Women's Fleece Lined Leggings Lite. Thermal leggings with soft fleece interior for cozy winter layering and yoga.. Category: Clothing
255,Stainless Steel Cookware Set 10-Piece Essential,Non-stick pots and pans with even heat distribution for everyday cooking.,Home & Kitchen,121.9,3.3,Stainless Steel Cookware Set 10-Piece Essential. Non-stick pots and pans with even heat distribution for everyday cooking.. Category: Home & Kitchen
256,Essential Oil Diffuser Ultrasonic Pro - Black,Aromatherapy humidifier with LED mood lighting and timer settings.,Health & Wellness,14.75,3.2,Essential Oil Diffuser Ultrasonic Pro - Black. Aromatherapy humidifier with LED mood lighting and timer settings.. Category: Health & Wellness
257,Fitness Tracker Watch - White,"Heart rate, step count, sleep monitoring, and smartphone notifications on wrist.",Health & Wellness,172.17,4.9,"Fitness Tracker Watch - White. Heart rate, step count, sleep monitoring, and smartphone notifications on wrist.. Category: Health & Wellness"
258,Colored Pencil Art Set 48 Colors Classic - Navy,Professional grade pencils with blending tools for drawing and sketching.,Books & Stationery,11.99,3.8,Colored Pencil Art Set 48 Colors Classic - Navy. Professional grade pencils with blending tools for drawing and sketching.. Category: Books & Stationery
259,Educational Science Experiment Kit Pro,Safe chemistry and physics experiments with illustrated guide for young scientists.,Toys & Games,18.26,2.7,Educational Science Experiment Kit Pro. Safe chemistry and physics experiments with illustrated guide for young scientists.. Category: Toys & Games
260,Blue Light Blocking Glasses Classic - White,Computer glasses reducing eye strain during long screen sessions.,Health & Wellness,191.23,5.0,Blue Light Blocking Glasses Classic - White. Computer glasses reducing eye strain during long screen sessions.. Category: Health & Wellness
261,Productivity Planner 2026,"Undated daily planner with goal tracking, habit pages, and monthly reviews.",Books & Stationery,36.11,3.9,"Productivity Planner 2026. Undated daily planner with goal tracking, habit pages, and monthly reviews.. Category: Books & Stationery"
262,Air Fryer 5 Quart Plus - White,"Digital air fryer for crispy meals with less oil, includes recipe booklet.",Home & Kitchen,245.62,3.4,"Air Fryer 5 Quart Plus - White. Digital air fryer for crispy meals with less oil, includes recipe booklet.. Category: Home & Kitchen"
263,Wireless Bluetooth Headphones Classic - Black,"Premium over-ear headphones with active noise cancellation, 30-hour battery life, and deep bass for music lovers.",Electronics,357.85,4.2,"Wireless Bluetooth Headphones Classic - Black. Premium over-ear headphones with active noise cancellation, 30-hour battery life, and deep bass for music lovers.. Category: Electronics"
264,Art and Craft Supply Box Lite - Red,"Glitter, glue, scissors, and paper assortment for creative kids projects. Free shipping eligible.",Toys & Games,10.74,4.6,"Art and Craft Supply Box Lite - Red. Glitter, glue, scissors, and paper assortment for creative kids projects. Free shipping eligible.. Category: Toys & Games"
265,Productivity Planner 2026,"Undated daily planner with goal tracking, habit pages, and monthly reviews.",Books & Stationery,26.48,4.5,"Productivity Planner 2026. Undated daily planner with goal tracking, habit pages, and monthly reviews.. Category: Books & Stationery"
266,HDMI Cable 6ft 4K Essential - Gray,High-speed HDMI 2.0 cable supporting 4K at 60Hz for monitors and projectors.,Electronics,161.66,4.6,HDMI Cable 6ft 4K Essential - Gray. High-speed HDMI 2.0 cable supporting 4K at 60Hz for monitors and projectors.. Category: Electronics
267,Meditation and Mindfulness Workbook Deluxe,"Guided exercises for stress relief, breathing techniques, and daily calm.",Books & Stationery,44.58,3.7,"Meditation and Mindfulness Workbook Deluxe. Guided exercises for stress relief, breathing techniques, and daily calm.. Category: Books & Stationery"
